OTU,CIMDEC_plaque_1_B8,CIMDEC_plaque_1_B5,CIMDEC_plaque_1_B6,CIMDEC_plaque_1_B1,CIMDEC_plaque_1_B3,CIMDEC_plaque_1_B9,CIMDEC_plaque_1_B11,CIMDEC_plaque_1_B2,CIMDEC_plaque_1_B7,CIMDEC_plaque_1_B10,CIMDEC_plaque_1_B4,CIMDEC_plaque_1_B12,CIMDEC_plaque_1_B29
KJ718158.1,57,49,76,37,26,31,39,45,134089,17,1787,15,93
MH860044.1,99,89,13127,154762,96,125,68,156130,75,70,6849,54,232
KX887186.1,5,15,20,23,112523,4,7,37,10,5,380,0,16
JN906978.1,5,1,14,8,3,39297,4,9,3,2,5,2,1123
MN944491.1,23,18,150871,11,13,7,11,6,14,10,14,6,30
MW138779.1,6,6,51446,4,5,9,3,4,5,2,11,2,28
MW633475.1,13,14,10,6,8,26891,14,3,11,51,10,8,6539
KF564282.1,18,11,13,14,7,8,146597,17,7,22,20,11,15
MK096312.1,0,0,0,0,0,0,0,0,0,0,0,0,0
GU727560.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH862886.1,34,16,19,16,10,93,43,11,15,32,19,135517,23
MH866022.1,0,0,0,0,0,806,0,0,0,0,0,0,1
MZ424694.1,62893,22,17,9,4,10,0,0,15,6,12,0,18
MT586827.1,31,38,38,14,12,37,125,21,25,47389,42,25,26
MW031265.1,0,0,0,0,0,0,0,0,0,0,0,0,0
GU237833.1,0,3,3,1,1,2266,0,0,0,2,0,0,3
MH487549.1,1,1,1,0,0,1,0,0,0,1,0,0,1
KJ707062.1,0,0,0,0,0,60,0,0,0,0,0,0,0
MK404325.1,0,0,0,0,0,1835,0,0,0,0,0,0,0
OL989249.1,0,0,0,0,0,77,0,0,0,0,0,0,0
MK817036.1,1,11504,2,1,1,0,1,1,0,0,2,0,1
HM004513.1,0,0,0,0,0,17,0,0,0,0,0,0,0
JN383493.1,0,0,0,0,0,0,0,1,1,0,0,0,0
MW173048.1,0,0,0,0,0,218,0,0,0,0,0,0,0
MW710688.1,0,0,0,0,0,161,0,0,0,0,0,0,0
AB546953.1,0,0,0,0,0,1,0,0,0,0,0,0,0
AY143076.1,0,0,0,0,1,0,1,0,2,1,0,0,0
MW722992.1,0,0,0,0,0,0,0,0,0,0,0,0,0
HE608895.1,0,0,0,0,0,90,0,0,0,0,0,0,0
FJ266483.1,0,0,0,0,1,19,0,0,0,0,2,0,54
MZ150299.1,19,120112,33,5,6,9,6,6,6,4,19,6,11
KR232407.1,1,1,1,0,0,6,4,1,1,1636,1,1,3
MG591878.1,0,0,0,0,0,0,2,0,0,0,0,0,0
AF347031.1,10,13,22,7,11,2721,26,14,10,30,230,7,16654
MK953365.1,1,0,0,0,0,1858,0,0,0,0,0,0,0
MN992240.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KU821452.1,0,0,0,0,0,3320,0,0,0,2,0,0,20
KT384413.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT185530.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH856435.1,1,1,373,1,0,0,1,1,1,0,0,0,0
AY167436.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MG605063.1,0,0,0,0,0,0,0,0,0,0,0,0,0
U34580.1,0,0,0,0,0,80,0,0,0,1,0,0,0
AY339317.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MT446068.1,0,0,0,0,0,424,0,0,0,0,0,0,0
MT185475.1,0,0,0,0,0,1221,0,0,0,0,0,0,0
AF358233.1,0,0,0,0,0,356,0,0,0,0,0,0,0
MH855943.1,6,8,9,12,4,905,10,6,6,43,972,7,10046
MG696592.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MZ531891.1,0,0,0,0,0,8,0,0,0,0,0,0,3
MK409349.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MW114356.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MN200199.1,0,0,0,0,0,711,0,0,0,0,1985,0,0
KY924929.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KF495033.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JF499850.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ948459.1,22,0,0,0,0,0,0,0,0,0,0,0,0
KR859086.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ281774.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KX833591.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KT389508.1,0,0,0,0,0,93,0,0,0,0,0,0,0
MH859629.1,0,0,0,0,0,15,0,0,0,0,0,0,0
KJ131184.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KP278161.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH384910.1,0,0,0,0,0,19,0,0,0,0,0,0,0
MG866025.1,0,0,0,0,0,0,1,0,0,0,0,0,0
MH861018.1,0,0,0,0,0,408,0,0,0,0,0,0,0
MH361212.1,0,0,0,0,0,444,0,0,0,0,0,0,0
LT990655.1,0,0,0,0,0,314,0,0,0,0,0,0,0
GU214638.1,0,0,0,0,0,1,0,0,0,0,0,0,0
EU301056.1,0,0,0,0,0,0,1,0,0,0,0,0,0
KF499365.1,0,0,0,1,0,0,0,0,0,0,3,0,0
KJ710467.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KP004456.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JN383482.1,0,0,0,0,1,3,0,1,0,0,0,0,2
KM265189.1,0,0,39,0,0,0,0,0,0,0,0,0,0
MF952667.1,0,0,0,0,0,14,0,0,0,0,0,0,0
MH018134.1,0,0,0,0,0,184,0,0,0,0,0,0,0
MH858205.1,0,0,0,0,0,159,0,0,0,5,0,0,0
MG826989.1,0,0,0,0,0,13,0,0,0,0,0,0,0
MT441588.1,0,0,0,0,0,48,0,0,0,0,0,0,0
MF795575.1,3,0,0,0,0,0,0,0,0,2,0,0,1487
KY696717.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MF164487.1,0,0,0,0,0,406,0,0,0,0,0,0,0
MT658095.1,0,0,1,0,0,0,0,0,0,0,0,0,0
JN033448.1,0,0,0,0,0,0,0,0,0,0,2,0,0
FJ150872.1,0,0,0,0,0,40,0,0,0,0,109,0,0
KC343056.1,0,0,0,0,0,0,0,0,0,0,0,0,0
GU291797.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY263783.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH514027.1,0,0,0,0,0,0,0,0,0,0,0,0,1
KJ490633.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MG971803.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KX037028.1,0,0,0,0,0,1,0,0,0,0,0,0,1
MF962599.1,0,0,0,0,0,57,0,0,0,0,0,0,0
KP859038.1,0,0,0,0,0,61,0,0,0,0,0,0,0
OM778769.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY242705.1,0,0,0,0,0,0,0,0,0,0,0,0,0
OM189455.1,0,0,0,0,0,56,0,0,0,0,0,0,0
MG736181.1,0,0,0,0,0,88,0,0,0,0,0,0,0
MW766990.1,0,0,0,0,0,101,0,0,0,0,0,0,0
MK096314.1,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ770386.1,0,0,0,0,0,18,0,0,0,0,0,0,0
MK539966.1,0,0,0,0,0,16,0,0,0,0,0,0,0
MG591897.1,0,0,0,0,0,0,0,0,0,0,0,1,0
KR873256.1,0,0,0,0,0,83,0,0,0,0,0,0,0
MT707332.1,0,0,0,0,0,9,0,0,0,0,0,0,0
MH857619.1,0,0,0,0,0,15,0,0,0,152,0,0,0
FJ860793.1,0,0,0,0,0,30,0,0,0,0,0,0,0
MN906214.1,0,0,0,0,0,0,0,0,0,1,0,0,0
MH107884.1,241,0,0,0,0,0,0,0,0,0,1,0,0
KT600411.1,0,0,0,0,0,77,0,0,1,0,4,0,3
MH101502.1,0,0,0,0,0,0,0,0,0,0,0,0,0
HQ847042.1,0,0,0,0,0,2,0,0,0,0,0,0,0
KR859279.1,0,0,0,0,0,0,0,0,0,0,4,0,0
KJ707164.1,0,0,0,0,0,6,0,0,0,4,0,0,0
MW114346.1,0,0,0,0,0,0,0,0,0,0,0,0,0
GQ852842.1,0,0,0,0,0,0,0,0,0,1,0,0,0
KM231823.1,0,0,0,0,0,13,0,0,0,0,0,0,0
AF222850.1,0,0,0,0,0,210,0,0,0,0,0,0,67
MK995628.1,0,0,0,0,0,0,0,0,0,0,0,0,0
GQ303276.2,0,0,0,0,0,0,0,0,0,0,0,0,0
AB035046.1,0,0,0,0,0,10,0,0,0,0,0,0,0
DQ202520.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT626599.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AY552328.1,0,0,0,0,0,6,0,0,0,0,0,0,0
KJ846807.1,4,0,0,0,0,0,0,0,0,0,0,0,0
MW396857.1,0,0,0,0,0,6,0,0,0,0,0,0,0
MW016616.1,0,0,0,0,0,316,0,0,0,0,0,0,0
MG591901.1,0,0,0,0,0,0,7,0,0,0,0,0,0
MK656244.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC584220.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MF183941.1,0,0,0,0,0,61,0,0,0,0,0,0,0
MK205289.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JN383490.1,0,0,0,0,0,0,0,0,0,0,1,0,0
MW016393.1,0,0,0,0,0,6,0,0,0,0,0,0,0
KY173420.1,0,0,0,0,0,2,0,0,0,0,0,0,0
KR011352.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF455494.1,0,0,0,0,0,11,0,0,0,0,0,0,0
DQ368755.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KX833535.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AY787678.2,0,0,0,0,0,3,0,0,0,3,0,0,0
KX887211.1,0,0,0,0,0,0,0,0,0,0,0,0,0
EF600943.1,0,0,0,0,2,0,0,0,0,0,0,0,0
KX858631.1,0,0,0,0,0,0,0,0,0,0,1,0,0
KT598374.1,0,0,0,0,0,0,0,0,0,0,0,0,0
DQ825985.1,0,0,0,0,0,11,0,0,0,0,0,0,0
LT217559.1,0,0,0,0,0,6,0,0,0,0,0,0,0
MG682082.1,0,0,0,0,0,0,1,0,0,0,0,0,0
KU845893.1,0,0,0,0,0,17,0,0,0,0,0,0,0
KX239841.1,0,0,0,0,0,0,0,0,0,0,1,0,0
KY979772.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY173432.2,0,0,0,0,0,0,0,0,0,0,5,0,0
FJ790287.1,0,0,0,0,0,2,0,0,0,0,0,0,0
OK664738.1,0,0,0,0,0,1,0,0,0,0,0,0,0
JQ044436.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY979755.1,0,0,0,0,0,11,0,0,0,0,0,0,3
GU237762.1,0,0,0,0,0,1,0,0,0,0,2,0,0
EU196536.1,0,0,0,0,0,4,0,0,0,0,0,0,0
HG779023.1,0,0,0,0,0,35,0,0,1,0,0,0,0
MH864156.1,0,0,0,0,0,0,0,0,0,0,0,0,0
HG931724.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AY743636.1,0,0,0,0,0,0,2,0,0,3,246,0,718
AB179837.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MW724098.1,0,0,0,0,0,11,0,0,0,0,0,0,0
MW202909.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KJ570692.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MG520945.1,0,0,0,0,0,4,0,0,0,0,0,0,0
AF141170.1,0,0,0,0,0,0,0,0,0,0,0,0,0
LR583793.1,0,0,0,0,0,46,0,0,0,0,0,0,0
LM644067.1,0,0,0,0,0,0,0,0,0,0,259,0,0
KP744447.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KJ590728.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AY015439.1,0,0,0,0,0,3,0,0,0,0,0,0,0
KX833588.1,0,0,0,0,0,1,0,0,0,0,0,0,0
HQ630308.1,0,0,1,0,0,29,0,0,0,0,0,0,0
MH013190.1,0,0,0,0,0,11,0,0,0,0,0,0,0
AF284387.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AY236422.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MG865518.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KR909390.1,0,0,0,0,0,40,0,0,0,0,0,0,0
MW045555.1,0,0,0,0,0,1,0,0,0,0,0,0,0
HQ847021.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF222840.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KT933645.1,0,0,0,0,0,0,0,0,0,0,0,0,4
MF169524.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC343118.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT177932.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC343135.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH798901.1,0,0,0,0,0,0,0,0,0,0,0,0,0
EU040211.1,0,0,0,0,0,0,0,0,0,0,0,0,0
EF512473.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MW114348.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AB694922.1,0,0,0,0,0,0,0,0,0,0,1,0,0
MF190146.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY173392.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT300294.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH865223.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT537019.1,0,0,0,0,0,6,0,0,0,0,0,0,0
HQ857111.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MH856898.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT185512.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC584209.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KF767353.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT177265.1,0,0,0,0,0,6,0,0,0,0,0,0,0
KY940797.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MG605066.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT199882.1,0,0,0,0,0,7,0,0,0,0,0,0,0
KF499360.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KJ490582.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MW298367.1,0,0,0,0,0,3,0,0,0,0,0,0,0
EU280121.1,0,0,0,0,0,3,0,0,0,0,0,0,0
JX977163.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH656752.1,0,0,0,0,0,10,0,0,0,0,3,0,216
AY624994.1,1,0,0,0,0,0,0,0,0,1,0,0,68
OK664717.1,0,0,0,0,0,4,0,0,0,0,0,0,0
MH864794.1,0,0,0,0,0,0,0,0,0,0,0,0,0
HM991734.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MZ159408.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KT459414.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KP859002.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KY051801.1,0,0,0,0,0,0,0,0,0,0,0,0,0
LR583738.1,0,0,0,0,0,13,0,0,0,0,0,0,0
MW412405.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY752809.1,0,0,0,0,0,0,0,0,0,0,0,0,0
EU514295.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT373373.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KX833586.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AY618232.1,0,0,0,0,0,160,0,0,0,0,0,0,0
KU940129.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MG866027.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KX833595.1,0,0,0,0,0,0,0,0,0,0,0,2,0
KC851949.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MK442607.1,0,0,0,0,0,0,0,0,0,0,0,0,58
KJ707106.1,0,0,0,0,0,10,0,0,0,0,0,0,0
MW144762.1,0,0,0,0,0,0,1,0,0,0,0,0,0
FJ889450.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MK953363.1,0,0,0,0,0,24,0,0,0,0,0,0,0
FJ430779.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH298851.1,0,0,0,0,0,0,0,0,0,0,0,0,0
EF512480.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH414899.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY051852.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MK573877.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KJ869133.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF444406.1,0,0,0,0,0,15,0,0,0,0,0,0,0
KF859928.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH411093.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH858111.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MG747467.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH231815.1,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ427003.1,0,0,0,0,0,12,0,0,0,0,0,0,0
KT389511.1,0,0,0,0,0,5,0,0,0,0,0,0,0
MH554112.1,0,0,0,0,0,22,0,0,0,0,0,0,0
MG975777.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF444407.1,0,0,0,0,0,2,0,0,0,0,0,0,0
KP814376.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MK047439.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MW016403.1,0,0,0,0,0,25,0,0,0,0,0,0,0
MN172414.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KP170657.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY085926.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KR909429.1,0,0,0,0,0,26,0,0,0,0,0,0,0
GQ303294.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MK478468.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT741707.1,0,0,0,0,0,2,0,0,0,0,0,0,0
KU712439.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KF730818.1,0,0,0,0,0,0,0,0,0,0,0,0,0
HF548705.1,0,0,0,0,0,12,0,0,0,0,0,0,0
MH414905.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH321794.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KX986764.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MK953352.1,0,0,0,0,0,2,0,0,0,0,0,0,0
MH327805.1,0,0,0,0,0,0,0,0,0,0,1,0,0
KC343008.1,0,1,0,0,0,0,0,0,0,0,0,0,0
KM231748.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MN562147.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AB926073.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MK432798.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF141163.1,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ357317.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MK069419.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH595928.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MK794327.1,0,0,0,0,0,0,0,0,0,0,0,0,0
EF512470.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KU821458.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MN244198.1,0,0,0,0,0,1,0,0,0,0,0,0,1
AY364838.1,0,0,0,0,0,5,0,0,0,2,0,0,0
FJ426989.1,0,0,0,0,0,1,0,0,0,0,0,0,0
