OTU,CIMDEC_plaque_1_B8,CIMDEC_plaque_1_B5,CIMDEC_plaque_1_B6,CIMDEC_plaque_1_B1,CIMDEC_plaque_1_B3,CIMDEC_plaque_1_B9,CIMDEC_plaque_1_B11,CIMDEC_plaque_1_B2,CIMDEC_plaque_1_B7,CIMDEC_plaque_1_B10,CIMDEC_plaque_1_B4,CIMDEC_plaque_1_B12,CIMDEC_plaque_1_B29
KF251261.1,0,0,0,0,0,7,0,0,0,0,0,0,0
ON130635.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KU728517.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KX228270.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MN973459.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KP896056.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF178393.1,0,0,0,0,0,17,0,0,0,0,0,0,0
MN688823.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC343164.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH862427.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH753702.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MW793963.1,0,0,0,0,0,0,0,0,0,0,0,0,7
EU153512.1,20,0,0,0,0,0,0,0,0,0,0,0,0
MK809454.1,10,0,0,0,1,0,0,0,0,2,2,0,1261
AB871751.1,7,0,0,0,0,0,0,0,0,0,0,0,0
MT462296.1,17,0,0,1,0,0,0,0,0,0,0,0,285
KU850565.1,1,0,3,0,1,0,2,2,0,2,4,1,1886
KC848278.1,1,0,0,0,0,0,0,0,0,0,0,0,0
JX310445.1,1,0,0,0,0,0,0,1,1,0,0,0,471
JQ948457.1,2,0,0,0,0,0,0,0,0,0,0,0,0
HQ435870.1,2,0,0,0,0,0,0,0,0,0,1,0,0
MK733257.1,0,6,0,0,0,0,0,0,0,0,0,0,0
MT385947.1,0,47,0,0,0,0,0,0,0,0,0,0,0
DQ780364.1,0,1,1,2,3,0,0,1,1,0,7107,1,0
FR748036.1,0,2,0,0,0,0,0,0,0,0,0,0,0
OL614712.1,0,1,0,0,0,0,0,0,0,0,671,0,0
MH305526.1,0,1,0,0,0,0,0,0,0,0,0,0,0
KR870853.1,0,1,0,0,0,0,0,0,0,0,0,0,0
EU167597.1,0,1,0,0,0,0,0,0,0,0,0,0,0
MK539998.1,0,0,1,0,0,0,0,0,0,0,0,0,515
MN784447.1,0,0,1,0,1,0,0,0,0,0,1,0,473
KF251253.1,0,0,1,0,0,1,0,0,0,0,197,0,0
JQ936290.1,0,0,0,1,1,0,1,0,1,0,0,0,32
MK736987.1,0,0,0,1,0,0,0,0,0,0,0,0,3
KU728502.1,0,0,0,1,0,0,0,0,0,0,0,1,988
KX887280.1,0,0,0,0,2,0,0,0,0,0,0,0,0
MK329123.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ685518.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MW732248.1,0,0,0,0,0,5,0,0,0,0,0,0,0
MH392087.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KX228274.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JF704194.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ005767.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ926266.1,0,0,0,0,0,0,0,0,0,0,0,0,0
EF652066.1,0,0,0,0,0,0,0,0,0,0,0,1,413
AF229457.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT185549.1,0,0,0,0,0,0,0,0,0,0,0,0,3
KM235691.1,0,0,0,0,0,0,0,0,1,2,1,1,1153
KJ490587.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH858565.1,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ860788.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KM669931.1,0,0,0,0,0,0,0,0,0,0,0,0,0
LT837470.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MH171064.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KR859213.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MN818665.1,0,0,0,0,0,0,0,0,0,0,0,0,0
DQ323697.1,0,0,0,0,0,9,0,0,0,0,0,0,0
KY051832.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KF251229.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY929338.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MG520952.1,0,0,0,0,0,1,0,0,0,0,1,0,741
AF393726.2,0,0,0,0,0,0,0,0,0,0,0,0,0
MN263600.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KX525686.1,0,0,0,0,0,4,0,0,0,0,0,0,0
MW191781.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ862765.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF444354.1,0,0,0,0,0,3,0,0,0,0,0,0,0
MH484005.1,0,0,0,0,0,5,0,0,0,0,0,0,0
KY703619.1,0,0,0,0,0,12,0,0,0,0,0,0,3
HQ897830.1,0,0,0,0,0,14,0,0,0,0,0,0,0
KP965485.1,0,0,0,0,0,5,0,0,0,0,0,0,0
MH859510.1,0,0,0,0,0,1,0,0,0,0,0,0,0
GU237794.1,0,0,0,0,0,51,0,0,0,0,0,0,0
OM959577.1,0,0,0,0,0,60,0,0,0,0,0,0,0
MN082417.1,0,0,0,0,0,17,0,0,0,0,0,0,0
MN215703.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MW016559.1,0,0,0,0,0,5,0,0,0,0,0,0,0
KJ869114.1,0,0,0,0,0,7,0,0,0,0,0,0,0
AJ301940.1,0,0,0,0,0,1,0,0,0,0,0,0,0
GU237890.1,0,0,0,0,0,4,0,0,0,0,0,0,1
JQ828908.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KX228265.1,0,0,0,0,0,2,0,0,0,0,0,0,0
MN973540.1,0,0,0,0,0,2,0,0,0,0,0,0,0
AF314985.1,0,0,0,0,0,9,0,0,0,0,0,0,0
KX017208.1,0,0,0,0,0,9,0,0,0,0,0,0,0
MH740898.1,0,0,0,0,0,3,0,0,0,0,0,0,0
LC507463.1,0,0,0,0,0,1,0,0,0,0,0,0,0
FJ427049.1,0,0,0,0,0,19,0,0,0,0,0,0,6
MH861763.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MK256970.1,0,0,0,0,0,3,0,0,0,0,0,0,0
MZ509541.1,0,0,0,0,0,11,0,0,0,0,0,0,0
MZ997381.1,0,0,0,0,0,7,0,0,0,0,0,0,0
AF439496.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KF251179.1,0,0,0,0,0,3,0,0,0,0,5,0,0
MG520948.1,0,0,0,0,0,3,0,0,0,0,0,0,0
AY220610.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MG828956.1,0,0,0,0,0,2,0,0,0,0,1,0,0
MH864418.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KR873249.1,0,0,0,0,0,1,0,0,0,0,0,0,0
AF229488.1,0,0,0,0,0,1,0,0,0,0,0,0,0
AB594795.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MW723619.1,0,0,0,0,0,4,0,0,0,0,0,0,1
JX118740.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KY090653.1,0,0,0,0,0,2,0,0,0,0,0,0,0
KY285005.1,0,0,0,0,0,2,0,0,0,0,0,0,0
HM562164.1,0,0,0,0,0,1,0,0,0,0,0,0,0
HQ897820.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MW114318.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MK953252.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KM376396.1,0,0,0,0,0,2,0,0,0,0,0,0,0
JF499847.1,0,0,0,0,0,1,0,0,0,0,0,0,0
HM629960.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KC992967.1,0,0,0,0,0,6,0,0,0,0,0,0,0
U34582.1,0,0,0,0,0,3,0,0,0,0,0,0,0
AJ427403.1,0,0,0,0,0,1,0,0,0,0,0,0,0
EU434836.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MT215495.1,0,0,0,0,0,2,0,0,0,0,0,0,0
JF907839.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MF511131.1,0,0,0,0,0,2,0,0,0,0,0,0,0
KC291747.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KY568986.1,0,0,0,0,0,3,0,0,0,0,0,0,0
HE792942.1,0,0,0,0,0,1,0,0,0,0,1,0,2
JN995638.1,0,0,0,0,0,2,0,0,0,0,0,0,0
MH862963.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KP004452.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KU845983.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MK539965.1,0,0,0,0,0,3,0,0,0,0,0,0,0
MT371091.1,0,0,0,0,0,1,0,0,0,0,1,0,0
KP859009.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MT026475.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MH498520.2,0,0,0,0,0,1,0,0,0,0,0,0,0
MH554131.1,0,0,0,0,0,3,0,0,0,0,0,0,0
KU846452.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MK560161.1,0,0,0,0,0,3,0,0,0,0,0,0,0
KT217364.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KU847246.1,0,0,0,0,0,2,0,0,0,0,0,0,0
MK539957.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KP859015.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MN265834.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MW709918.1,0,0,0,0,0,1,0,0,0,16,0,0,0
JX205092.1,0,0,0,0,0,1,0,0,0,0,1,0,0
GU237792.1,0,0,0,0,0,1,0,0,0,0,0,0,0
AY677291.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MN475152.1,0,0,0,0,0,1,0,0,0,3,0,0,0
KU355364.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MZ343574.1,0,0,0,0,0,2,0,0,0,0,0,0,0
HM245331.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KX986135.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MN897829.1,0,0,0,0,0,1,0,0,0,0,0,0,0
JF740221.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MW477883.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MG828928.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MF434196.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KT389526.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KU604037.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MG828953.1,0,0,0,0,0,0,1,0,0,0,0,0,586
KU850546.1,0,0,0,0,0,0,0,0,1,0,0,0,54
JN601032.1,0,0,0,0,0,0,0,0,1,0,0,0,0
MH862301.1,0,0,0,0,0,0,0,0,0,7,0,0,0
MW862356.1,0,0,0,0,0,0,0,0,0,16,0,0,0
MZ063054.1,0,0,0,0,0,0,0,0,0,10,0,0,0
KT711014.1,0,0,0,0,0,0,0,0,0,1,11,0,0
MH862528.1,0,0,0,0,0,0,0,0,0,10,0,0,0
L76482.1,0,0,0,0,0,0,0,0,0,5,0,0,0
AF444441.1,0,0,0,0,0,0,0,0,0,1,0,0,1
MK346145.1,0,0,0,0,0,0,0,0,0,8,0,0,0
KC585397.1,0,0,0,0,0,0,0,0,0,1,3,0,0
KX578073.1,0,0,0,0,0,0,0,0,0,1,0,0,0
AB809634.1,0,0,0,0,0,0,0,0,0,1,0,0,204
LR993310.1,0,0,0,0,0,0,0,0,0,0,971,0,0
AF492089.1,0,0,0,0,0,0,0,0,0,0,115,0,0
AB025686.1,0,0,0,0,0,0,0,0,0,0,166,0,0
MK050390.1,0,0,0,0,0,0,0,0,0,0,40,0,0
MG590083.1,0,0,0,0,0,0,0,0,0,0,303,0,0
KT215271.1,0,0,0,0,0,0,0,0,0,0,295,0,0
HQ643127.1,0,0,0,0,0,0,0,0,0,0,63,0,0
KF251641.1,0,0,0,0,0,0,0,0,0,0,15,0,0
MZ668718.1,0,0,0,0,0,0,0,0,0,0,287,0,0
MW015778.1,0,0,0,0,0,0,0,0,0,0,26,0,253
KC193586.1,0,0,0,0,0,0,0,0,0,0,162,0,0
KF573010.1,0,0,0,0,0,0,0,0,0,0,26,0,3
MN148706.1,0,0,0,0,0,0,0,0,0,0,24,0,0
KP322984.1,0,0,0,0,0,0,0,0,0,0,5,0,0
MN756639.1,0,0,0,0,0,0,0,0,0,0,25,0,0
KX081106.1,0,0,0,0,0,0,0,0,0,0,9,0,0
KJ410708.1,0,0,0,0,0,0,0,0,0,0,5,0,0
HQ728295.1,0,0,0,0,0,0,0,0,0,0,27,0,0
KP413162.1,0,0,0,0,0,0,0,0,0,0,4,0,0
MK442615.1,0,0,0,0,0,0,0,0,0,0,15,0,0
MK050389.1,0,0,0,0,0,0,0,0,0,0,24,0,0
AB255605.1,0,0,0,0,0,0,0,0,0,0,31,0,0
AY373923.1,0,0,0,0,0,0,0,0,0,0,6,0,0
KC017758.1,0,0,0,0,0,0,0,0,0,0,1,0,0
MK874988.1,0,0,0,0,0,0,0,0,0,0,8,0,0
HQ153420.1,0,0,0,0,0,0,0,0,0,0,9,0,0
AF362059.1,0,0,0,0,0,0,0,0,0,0,3,0,0
KJ140542.1,0,0,0,0,0,0,0,0,0,0,3,0,0
JN943663.1,0,0,0,0,0,0,0,0,0,0,1,0,0
KF251167.1,0,0,0,0,0,0,0,0,0,0,1,0,0
KY103128.1,0,0,0,0,0,0,0,0,0,0,2,0,0
KX765265.1,0,0,0,0,0,0,0,0,0,0,5,0,0
MT321796.1,0,0,0,0,0,0,0,0,0,0,2,0,0
AJ244251.1,0,0,0,0,0,0,0,0,0,0,1,0,0
MH023389.1,0,0,0,0,0,0,0,0,0,0,7,0,0
EU167604.1,0,0,0,0,0,0,0,0,0,0,8,0,0
MH857438.1,0,0,0,0,0,0,0,0,0,0,1,0,0
KC543139.1,0,0,0,0,0,0,0,0,0,0,1,0,3
MK539972.1,0,0,0,0,0,0,0,0,0,0,1,0,0
KX306761.1,0,0,0,0,0,0,0,0,0,0,4,0,0
MF434195.1,0,0,0,0,0,0,0,0,0,0,1,0,0
OM400545.1,0,0,0,0,0,0,0,0,0,0,7,0,0
MK764884.1,0,0,0,0,0,0,0,0,0,0,2,0,0
LT158447.1,0,0,0,0,0,0,0,0,0,0,3,0,0
KC595890.1,0,0,0,0,0,0,0,0,0,0,3,0,0
MK426809.1,0,0,0,0,0,0,0,0,0,0,1,0,0
AF422960.1,0,0,0,0,0,0,0,0,0,0,1,0,0
JX141453.1,0,0,0,0,0,0,0,0,0,0,1,0,0
KJ410706.1,0,0,0,0,0,0,0,0,0,0,2,0,0
EU030177.1,0,0,0,0,0,0,0,0,0,0,1,0,0
KP134997.1,0,0,0,0,0,0,0,0,0,0,1,0,0
MK050394.1,0,0,0,0,0,0,0,0,0,0,1,0,0
MF472945.1,0,0,0,0,0,0,0,0,0,0,1,0,0
KX306768.1,0,0,0,0,0,0,0,0,0,0,1,0,0
MZ636965.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT231699.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC343220.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH864738.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JN649340.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AY487079.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KP271443.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY979758.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY984324.1,0,0,0,0,0,0,0,0,0,0,0,0,459
AY669617.1,0,0,0,0,0,0,0,0,0,0,0,0,2
JN164989.1,0,0,0,0,0,0,0,0,0,0,0,0,21
JN710601.1,0,0,0,0,0,0,0,0,0,0,0,0,5
MT310596.1,0,0,0,0,0,0,0,0,0,0,0,0,52
AF013231.1,0,0,0,0,0,0,0,0,0,0,0,0,8
JN048778.1,0,0,0,0,0,0,0,0,0,0,0,0,8
MW937876.1,0,0,0,0,0,0,0,0,0,0,0,0,1
AJ244245.1,0,0,0,0,0,0,0,0,0,0,0,0,31
GU234143.1,0,0,0,0,0,0,0,0,0,0,0,0,37
JF961347.1,0,0,0,0,0,0,0,0,0,0,0,0,29
KU728512.1,0,0,0,0,0,0,0,0,0,0,0,0,50
MF319055.1,0,0,0,0,0,0,0,0,0,0,0,0,46
FJ403210.1,0,0,0,0,0,0,0,0,0,0,0,0,38
JQ700296.1,0,0,0,0,0,0,0,0,0,0,0,0,5
MG828898.1,0,0,0,0,0,0,0,0,0,0,0,0,2
MW175365.1,0,0,0,0,0,0,0,0,0,0,0,0,4
KY264029.1,0,0,0,0,0,0,0,0,0,0,0,0,2
MT028350.1,0,0,0,0,0,0,0,0,0,0,0,0,7
KC505574.1,0,0,0,0,0,0,0,0,0,0,0,0,38
MK119762.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MH860323.1,0,0,0,0,0,0,0,0,0,0,0,0,4
MH862040.1,0,0,0,0,0,0,0,0,0,0,0,0,2
KP814546.1,0,0,0,0,0,0,0,0,0,0,0,0,16
MT981409.1,0,0,0,0,0,0,0,0,0,0,0,0,14
OK138912.1,0,0,0,0,0,0,0,0,0,0,0,0,8
MH861814.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MT799859.1,0,0,0,0,0,0,0,0,0,0,0,0,6
MZ474647.1,0,0,0,0,0,0,0,0,0,0,0,0,2
KC867352.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MN250195.1,0,0,0,0,0,0,0,0,0,0,0,0,1
KF860882.1,0,0,0,0,0,0,0,0,0,0,0,0,1
OM100765.1,0,0,0,0,0,0,0,0,0,0,0,0,2
FM872464.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MW644574.1,0,0,0,0,0,0,0,0,0,0,0,0,4
KX228294.1,0,0,0,0,0,0,0,0,0,0,0,0,3
MW205691.1,0,0,0,0,0,0,0,0,0,0,0,0,3
JN649366.1,0,0,0,0,0,0,0,0,0,0,0,0,2
JX089579.1,0,0,0,0,0,0,0,0,0,0,0,0,7
HF934949.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MF039251.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MT177938.1,0,0,0,0,0,0,0,0,0,0,0,0,5
AF444362.2,0,0,0,0,0,0,0,0,0,0,0,0,1
AB915387.1,0,0,0,0,0,0,0,0,0,0,0,0,1
JX134278.1,0,0,0,0,0,0,0,0,0,0,0,0,1
EF600979.1,0,0,0,0,0,0,0,0,0,0,0,0,3
LC175333.1,0,0,0,0,0,0,0,0,0,0,0,0,3
EU118665.1,0,0,0,0,0,0,0,0,0,0,0,0,2
MK909935.1,0,0,0,0,0,0,0,0,0,0,0,0,1
KM975421.1,0,0,0,0,0,0,0,0,0,0,0,0,1
KC585316.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MW750241.1,0,0,0,0,0,0,0,0,0,0,0,0,2
KP004458.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MK418793.1,0,0,0,0,0,0,0,0,0,0,0,0,2
KX820255.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MZ637008.1,0,0,0,0,0,0,0,0,0,0,0,0,1
DQ340340.1,0,0,0,0,0,0,0,0,0,0,0,0,5
MK269226.1,0,0,0,0,0,0,0,0,0,0,0,0,2
MH697849.1,0,0,0,0,0,0,0,0,0,0,0,0,1
KY905674.1,0,0,0,0,0,0,0,0,0,0,0,0,1
KX228262.1,0,0,0,0,0,0,0,0,0,0,0,0,1
KX287332.1,0,0,0,0,0,0,0,0,0,0,0,0,1
AY818350.1,0,0,0,0,0,0,0,0,0,0,0,0,2
MZ636980.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MH855783.1,0,0,0,0,0,0,0,0,0,0,0,0,1
KX287433.1,0,0,0,0,0,0,0,0,0,0,0,0,1
HQ728117.1,0,0,0,0,0,0,0,0,0,0,0,0,1
DQ991348.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MF626362.1,0,0,0,0,0,0,0,0,0,0,0,0,1
HQ222028.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MZ935640.1,0,0,0,0,0,0,0,0,0,0,0,0,1
KF568893.1,0,0,0,0,0,0,0,0,0,0,0,0,1
JN411116.1,0,0,0,0,0,0,0,0,0,0,0,0,1
